pos,player,wkts,mat,inns,ov,runs,avg,econ,sr,base_price,final_price,role,final_price_rate
4,Rashid Khan,21,17,17,56.5,516,24.57,9.07,16.23,20000000,90000000,Capped,4.5
8,Rasikh Dar,19,12,12,42.5,405,21.31,9.45,13.52,3000000,60000000,Uncapped,20.0
32,Ravi Bishnoi,11,9,9,26.0,257,23.36,9.88,14.18,20000000,72000000,Capped,3.6
78,Riyan Parag,2,14,4,4.0,38,19.0,9.5,12.0,3000000,38000000,Capped,12.67
51,Romario Shepherd,7,15,13,25.0,298,42.57,11.92,21.42,15000000,15000000,Capped,1.0
99,Sai Kishore,1,3,2,4.0,46,46.0,11.5,24.0,7500000,20000000,Capped,2.67
14,Sakib Hussain,15,11,11,42.0,397,26.46,9.45,16.8,3000000,3000000,Uncapped,1.0
62,Sandeep Sharma,5,6,6,19.4,224,44.8,11.38,23.6,5000000,5000000,Uncapped,1.0
58,Saurabh Dubey,5,4,4,12.5,106,21.2,8.25,15.4,2000000,2000000,Uncapped,1.0
64,Shahbaz Ahamad,5,5,5,11.1,130,26.0,11.64,13.4,10000000,24000000,Capped,2.4
28,Shardul Thakur,12,9,7,22.0,270,22.5,12.27,11.0,20000000,40000000,Capped,2.0
67,Shashank Singh,4,12,4,10.0,88,22.0,8.8,15.0,2000000,2000000,Uncapped,1.0
102,Shivam Dube,1,13,4,5.0,64,64.0,12.8,30.0,5000000,40000000,Capped,8.0
40,Shivang Kumar,9,13,13,39.0,375,41.66,9.61,26.0,3000000,3000000,Uncapped,1.0
79,Spencer Johnson,2,3,3,11.0,112,56.0,10.18,33.0,20000000,28000000,Capped,1.4
80,Sushant Mishra,2,2,2,6.2,67,33.5,10.57,19.0,3000000,9000000,Uncapped,3.0
37,Suyash Sharma,9,12,12,40.5,376,41.77,9.2,27.22,3000000,26000000,Uncapped,8.67
61,T Natarajan,5,10,10,31.5,356,71.2,11.18,38.2,20000000,107500000,Capped,5.38
