pos,player,runs,mat,inns,no,sr,boundary_pct,avg_balls_inns,base_price,final_price,role,final_price_rate,cricket_role
15,Cooper Connolly,491,14,13,2,163.12,74.13,23.15,20000000,30000000,Capped,1.5,All Rounders
160,Danish Malewar,2,2,2,0,40.0,0.0,2.5,3000000,3000000,Uncapped,1.0,Batters
51,David Miller,211,11,10,4,154.01,68.25,13.7,20000000,20000000,Capped,1.0,Batters
110,Deepak Chahar,25,8,4,2,131.57,72.0,4.75,20000000,92500000,Capped,4.62,Bowlers
17,Devdutt Padikkal,464,16,15,1,168.72,73.28,18.33,20000000,20000000,Capped,1.0,Batters
64,Dewald Brevis,151,11,8,0,127.96,60.93,14.75,2000000,30000000,Capped,15.0,Batters
11,Dhruv Jurel,515,16,16,2,154.65,64.47,20.81,2000000,2000000,Uncapped,1.0,Batters
161,Digvesh Singh,2,10,2,2,40.0,0.0,2.5,3000000,3000000,Uncapped,1.0,Bowlers
30,Donovan Ferreira,317,15,13,4,179.09,75.08,13.62,7500000,7500000,Capped,1.0,All Rounders
137,Eshan Malinga,7,15,3,2,41.17,0.0,5.67,3000000,12000000,Uncapped,4.0,Bowlers
25,Finn Allen,349,11,11,1,214.11,85.96,14.82,20000000,20000000,Capped,1.0,Batters
83,Glenn Phillips,67,6,5,1,124.07,41.79,10.8,20000000,20000000,Capped,1.0,All Rounders
53,Hardik Pandya,206,10,10,1,138.25,61.17,14.9,1000000,1000000,Capped,1.0,All Rounders
143,Harpreet Brar,5,2,1,1,166.66,80.0,3.0,3000000,15000000,Uncapped,5.0,All Rounders
130,Harshal Patel,10,5,3,0,111.11,80.0,3.0,20000000,80000000,Capped,4.0,Bowlers
5,Heinrich Klaasen,624,15,15,2,160.0,60.58,26.0,10000000,52500000,Capped,5.25,Batters
75,Himmat Singh,92,6,5,2,133.33,54.35,13.8,3000000,3000000,Uncapped,1.0,Batters
6,Ishan Kishan,602,15,15,0,182.42,71.76,22.0,20000000,112500000,Capped,5.62,Batters
74,Jacob Bethell,96,7,7,0,124.67,68.75,11.0,12500000,26000000,Capped,2.08,All Rounders
66,Jamie Overton,136,10,6,2,158.13,64.71,14.33,15000000,15000000,Capped,1.0,All Rounders
84,Jason Holder,65,11,7,2,125.0,46.15,7.43,20000000,70000000,Capped,3.5,All Rounders
134,Jasprit Bumrah,7,13,2,1,100.0,57.14,3.5,2000000,12000000,Capped,6.0,Bowlers
151,Jaydev Unadkat,4,4,1,1,133.33,0.0,3.0,10000000,10000000,Capped,1.0,Bowlers
72,Jitesh Sharma,116,16,12,3,122.1,62.07,7.92,10000000,110000000,Capped,11.0,Batters
86,Jofra Archer,64,16,10,4,136.17,62.5,4.7,20000000,125000000,Capped,6.25,Bowlers
10,Jos Buttler,526,17,17,3,152.46,68.44,20.29,20000000,157500000,Capped,7.88,Batters
42,Josh Inglis,266,5,5,0,186.01,75.19,28.6,20000000,86000000,Capped,4.3,Batters
7,K L Rahul,593,14,14,1,174.41,69.14,24.29,10000000,52000000,Capped,5.2,Batters
98,Kagiso Rabada,47,17,4,2,123.68,68.09,9.5,20000000,107500000,Capped,5.38,Bowlers
36,Kartik Sharma,295,11,11,2,136.57,65.08,19.64,3000000,142000000,Uncapped,47.33,Batters
128,Kartik Tyagi,11,14,3,0,110.0,90.91,3.33,3000000,3000000,Uncapped,1.0,Bowlers
117,Karun Nair,18,2,2,0,100.0,66.67,9.0,3000000,5000000,Uncapped,1.67,Batters
47,Krunal Pandya,226,16,9,3,145.8,64.6,17.22,20000000,57500000,Capped,2.88,All Rounders
132,Kuldeep Yadav,9,12,4,1,42.85,0.0,5.25,10000000,20000000,Capped,2.0,Bowlers
116,Kumar Kushagra,18,1,1,0,128.57,66.67,14.0,3000000,6500000,Uncapped,2.17,Batters
126,Kyle Jamieson,12,2,1,0,92.3,83.33,13.0,20000000,20000000,Capped,1.0,All Rounders
122,Liam Livingstone,15,2,2,0,60.0,40.0,12.5,20000000,130000000,Capped,6.5,All Rounders
152,Lungisani Ngidi,4,12,3,1,57.14,0.0,2.33,20000000,20000000,Capped,1.0,Bowlers
115,Madhav Tiwari,18,3,1,1,225.0,77.78,8.0,3000000,4000000,Uncapped,1.33,All Rounders
82,Manish Pandey,70,6,2,0,142.85,62.86,24.5,7500000,7500000,Capped,1.0,Batters
95,Marco Jansen,51,13,5,1,113.33,43.14,9.0,12500000,70000000,Capped,5.6,All Rounders
49,Marcus Stoinis,216,13,9,3,180.0,73.15,13.33,20000000,110000000,Capped,5.5,All Rounders
136,Matt Henry,7,3,2,0,70.0,57.14,5.0,20000000,20000000,Capped,1.0,Bowlers
89,Matthew Short,60,3,3,0,117.64,50.0,17.0,15000000,15000000,Capped,1.0,All Rounders
145,Mayank Yadav,5,4,1,0,100.0,80.0,5.0,2000000,2000000,Capped,1.0,Bowlers
9,Mitchell Marsh,563,13,13,0,163.18,74.6,26.54,20000000,34000000,Capped,1.7,All Rounders
109,Mitchell Santner,26,4,2,2,136.84,46.15,9.5,20000000,20000000,Capped,1.0,All Rounders
104,Mohammad Shami,31,13,7,2,140.9,83.87,3.14,20000000,100000000,Capped,5.0,Bowlers
148,Mohammed Siraj,5,17,2,0,31.25,80.0,8.0,10000000,26000000,Capped,2.6,Bowlers
112,Mohd Arshad Khan,23,8,2,1,209.09,69.57,5.5,3000000,13000000,Uncapped,4.33,All Rounders
155,Mukesh Choudhary,2,8,1,1,100.0,0.0,2.0,3000000,3000000,Uncapped,1.0,Bowlers
60,Mukul Choudhary,170,10,10,4,141.66,68.24,12.0,3000000,26000000,Uncapped,8.67,Bowlers
29,Naman Dhir,318,14,14,2,147.22,63.52,15.43,3000000,52500000,Uncapped,17.5,All Rounders
124,Nandre Burger,14,13,3,2,155.55,42.86,3.0,5000000,5000000,Capped,1.0,Bowlers
85,Nehal Wadhera,65,8,6,0,114.03,61.54,9.5,3000000,42000000,Uncapped,14.0,Batters
45,Nicholas Pooran,234,14,14,1,127.86,67.52,13.07,20000000,160000000,Capped,8.0,Batters
88,Nishant Sindhu,63,8,5,0,126.0,63.49,10.0,3000000,3000000,Uncapped,1.0,All Rounders
34,Nitish Kumar Reddy,302,14,13,3,171.59,66.89,13.54,2000000,2000000,Capped,1.0,All Rounders
48,Nitish Rana,225,9,9,0,151.0,74.67,16.56,15000000,42000000,Capped,2.8,All Rounders
129,Noor Ahmad,11,14,4,1,47.82,54.55,5.75,20000000,100000000,Capped,5.0,Bowlers
105,Pat Cummins,30,8,3,0,157.89,73.33,6.33,20000000,205000000,Capped,10.25,All Rounders
38,Pathum Nissanka,278,10,10,0,158.85,73.38,17.5,7500000,40000000,Capped,5.33,Batters
54,Phil Salt,202,6,6,0,168.33,64.36,20.0,20000000,115000000,Capped,5.75,Batters
12,Prabhsimran Singh,510,14,13,1,168.87,70.2,23.23,2000000,6000000,Uncapped,3.0,Batters
154,Praful Hinge,3,7,2,1,33.33,0.0,4.5,3000000,3000000,Uncapped,1.0,Bowlers
76,Prashant Veer,90,6,5,3,134.32,64.44,13.4,3000000,142000000,Uncapped,47.33,All Rounders
141,Prasidh Krishna,6,12,1,1,85.71,66.67,7.0,20000000,95000000,Capped,4.75,Bowlers
23,Priyansh Arya,364,13,13,0,211.62,82.42,13.23,3000000,38000000,Uncapped,12.67,Batters
68,Quinton De Kock,132,3,3,1,162.96,68.18,27.0,10000000,10000000,Capped,1.0,Batters
56,Rahul Tewatia,190,16,15,8,143.93,67.37,8.8,4000000,90000000,Uncapped,22.5,All Rounders
119,Raj Angad Bawa,16,3,1,0,114.28,25.0,14.0,3000000,3000000,Uncapped,1.0,All Rounders
13,Rajat Patidar,501,15,14,2,192.69,74.25,18.57,2000000,2000000,Capped,1.0,Batters
78,Ramandeep Singh,82,8,6,1,120.58,53.66,11.33,2000000,2000000,Uncapped,1.0,All Rounders
97,Rashid Khan,50,17,6,2,121.95,56.0,6.83,20000000,90000000,Capped,4.5,All Rounders
153,Rasikh Dar,3,12,2,2,150.0,0.0,1.0,3000000,60000000,Uncapped,20.0,Bowlers
150,Ravi Singh,4,1,1,0,200.0,100.0,2.0,3000000,9500000,Uncapped,3.17,Bowlers
35,Rinku Singh,295,14,11,6,148.98,58.98,18.0,2000000,5500000,Capped,2.75,Batters
31,Rishabh Pant,312,14,13,2,138.05,59.62,17.38,20000000,270000000,Capped,13.5,Batters
32,Riyan Parag,309,14,14,1,157.65,71.84,14.0,3000000,38000000,Capped,12.67,All Rounders
138,Robin Minz,6,2,2,1,150.0,66.67,2.0,3000000,6500000,Uncapped,2.17,Batters
77,Romario Shepherd,83,15,7,3,125.75,65.06,9.43,15000000,15000000,Capped,1.0,All Rounders
57,Rovman Powell,190,11,7,2,134.75,65.26,20.14,15000000,15000000,Capped,1.0,Batters
26,Ruturaj Gaikwad,337,14,14,2,123.44,55.79,19.5,2000000,2000000,Capped,1.0,Batters
18,Ryan Rickelton,448,12,12,1,186.66,78.57,20.0,10000000,10000000,Capped,1.0,Batters
99,Sahil Parakh,46,4,4,0,139.39,69.57,8.25,3000000,3000000,Uncapped,1.0,Batters
3,Sai Sudharsan,722,17,17,1,157.98,66.48,26.88,2000000,2000000,Capped,1.0,Batters
147,Sakib Hussain,5,11,1,1,71.42,80.0,7.0,3000000,3000000,Uncapped,1.0,Bowlers
63,Salil Arora,156,14,11,4,159.18,70.51,8.91,3000000,15000000,Uncapped,5.0,Batters
44,Sameer Rizvi,252,11,9,2,147.36,64.29,19.0,3000000,9500000,Uncapped,3.17,Batters
16,Sanju Samson,477,14,14,3,165.62,74.63,20.57,10000000,80000000,Capped,8.0,Batters
61,Sarfaraz Khan,161,8,7,0,169.47,79.5,13.57,7500000,7500000,Capped,1.0,Batters
149,Saurabh Dubey,4,4,1,1,200.0,100.0,2.0,2000000,2000000,Uncapped,1.0,Bowlers
91,Shahbaz Ahamad,58,5,2,2,141.46,58.62,20.5,10000000,24000000,Capped,2.4,All Rounders
100,Shahrukh Khan,43,9,5,1,130.3,55.81,6.6,4000000,74000000,Uncapped,18.5,All Rounders
