_id,id,year,state_name,state_code,number_of_suicides,percentage_share_in_total_suicides,projected_mid_year_population_in_lakh
114,113,2021,Delhi,7,2840,1.7314,207.03
115,114,2021,Goa,30,321,0.1957,15.61
116,115,2021,Gujarat,24,8789,5.3581,700.75
117,116,2021,Haryana,6,3692,2.2508,296.04
118,117,2021,Himachal Pradesh,2,889,0.542,74.06
119,118,2021,Jammu And Kashmir,1,247,0.1506,134.4
120,119,2021,Jharkhand,20,1825,1.1126,386.37
121,120,2021,Karnataka,29,13056,7.9594,669.86
122,121,2021,Kerala,32,9549,5.8214,355.37
123,122,2021,Ladakh,37,11,0.0067,2.98
124,123,2021,Lakshadweep,31,1,0.0006,0.68
125,124,2021,Madhya Pradesh,23,14965,9.1232,848.6
126,125,2021,Maharashtra,27,22207,13.5381,1247.62
127,126,2021,Manipur,14,49,0.0299,31.72
128,127,2021,Meghalaya,17,226,0.1378,32.95
129,128,2021,Mizoram,15,99,0.0604,12.19
130,129,2021,Nagaland,13,43,0.0262,21.98
131,130,2021,Odisha,21,5651,3.445,457.93
132,131,2021,Puducherry,34,504,0.3073,15.84
133,132,2021,Punjab,3,2600,1.585,304.04
134,133,2021,Rajasthan,8,5593,3.4097,795.72
135,134,2021,Sikkim,11,266,0.1622,6.78
136,135,2021,Tamil Nadu,33,18925,11.5373,764.79
137,136,2021,Telangana,36,10171,6.2006,377.71
138,137,2021,The Dadra And Nagar Haveli And Daman And Diu,38,171,0.1042,11.08
139,138,2021,Tripura,16,771,0.47,40.81
140,139,2021,Uttar Pradesh,9,5932,3.6163,2317.04
141,140,2021,Uttarakhand,5,717,0.4371,114.39
142,141,2021,West Bengal,19,13500,8.2301,982.85
143,142,2022,Andaman And Nicobar Islands,35,171,0.1,4
144,143,2022,Andhra Pradesh,28,8908,5.2117,530.3
145,144,2022,Arunachal Pradesh,12,149,0.0872,15.5
146,145,2022,Assam,18,3320,1.9424,354.9
147,146,2022,Bihar,10,702,0.4107,1255.3
148,147,2022,Chandigarh,4,131,0.0766,12.2
149,148,2022,Chhattisgarh,22,8446,4.9414,299.5
150,149,2022,Delhi,7,3417,1.9991,211
151,150,2022,Goa,30,302,0.1767,15.7
152,151,2022,Gujarat,24,9002,5.2667,709.3
153,152,2022,Haryana,6,3783,2.2133,299.7
154,153,2022,Himachal Pradesh,2,644,0.3768,74.4
155,154,2022,Jammu And Kashmir,1,323,0.189,135.4
156,155,2022,Jharkhand,20,2181,1.276,391.4
157,156,2022,Karnataka,29,13606,7.9603,674.1
158,157,2022,Kerala,32,10162,5.9453,356.8
159,158,2022,Ladakh,37,13,0.0076,3
160,159,2022,Lakshadweep,31,2,0.0012,0.7
161,160,2022,Madhya Pradesh,23,15386,9.0017,858.9
162,161,2022,Maharashtra,27,22746,13.3077,1257.4
163,162,2022,Manipur,14,26,0.0152,32
164,163,2022,Meghalaya,17,213,0.1246,33.3
165,164,2022,Mizoram,15,153,0.0895,12.3
166,165,2022,Nagaland,13,49,0.0287,22.2
167,166,2022,Odisha,21,6140,3.5922,460.8
168,167,2022,Puducherry,34,481,0.2814,16.2
169,168,2022,Punjab,3,2441,1.4281,306
170,169,2022,Rajasthan,8,5343,3.126,804.4
171,170,2022,Sikkim,11,293,0.1714,6.8
172,171,2022,Tamil Nadu,33,19834,11.604,767.1
173,172,2022,Telangana,36,9980,5.8389,379.5
174,173,2022,The Dadra And Nagar Haveli And Daman And Diu,38,205,0.1199,12
175,174,2022,Tripura,16,713,0.4171,41.2
176,175,2022,Uttar Pradesh,9,8176,4.7834,2340.9
177,176,2022,Uttarakhand,5,814,0.4762,115.6
178,177,2022,West Bengal,19,12669,7.4121,987.6
